method,family,n_assets,seed,goal_mult,hist_goal_hit,hist_terminal_wealth,hist_shortfall,hist_max_drawdown,goal_probability,terminal_wealth,mc_goal_prob,mc_goal_prob_ci_lo,mc_goal_prob_ci_hi,mc_shortfall_mean,mc_mean_wealth,mc_median_wealth,mc_wealth_p05,mc_wealth_p25,mc_wealth_p75,mc_wealth_p95,mean_gross_leverage,max_gross_leverage,mean_net_exposure,max_single_name_weight,turnover,wealth_vol,test_u,train_time_sec,solve_time_sec,nn_param_count
nn_historical_replay,nn,5,3,1.1,False,1.0573399416286546,0.042660058371345455,-0.7721764207786518,0.3815,1.0573399416286546,0.3815,0.3605,0.4007625,0.250485407337755,0.9286928666795377,0.9996509062049451,0.2890837467642604,0.615552660705007,1.1792495804012353,1.4940839390497667,6.247136229424927,8.000000000000002,-3.7528637705750727,1.9216356447568723,378.4929229305874,0.5862710697955269,1.0,7.308872923007584,0.0,34437
nn_historical_replay_long_only,nn,5,3,1.1,True,1.6697082798250171,0.0,-0.3512001095124303,0.68,1.6697082798250171,0.68,0.661,0.7012625,0.04447541285900392,1.2404019139401585,1.2204970133835817,0.8501077982122567,1.0517531784920577,1.3953709834911399,1.7178641272220463,1.000033430258433,1.0000337958335876,1.000033430258433,0.9999716366108378,1.7464160919189453e-05,0.2246060981339658,0.0,7.255402654991485,0.0,34437
deep_bsde,nn,5,3,1.1,True,2.0268013108136187,0.0,-0.709352363213553,0.757,2.0268013108136187,0.757,0.7382375,0.7752625,0.09311173589030293,1.5444257420698395,1.6129253141944577,0.4949765190463309,1.1156379426238157,1.969881047796079,2.4791607299608542,3.976905952935195,7.995108366012572,2.0038490504767763,2.61049311359776,225.36217360152128,0.5954641048986856,0.6600328683853149,10.68341886100825,0.0,52680
pinn,nn,5,3,1.1,True,1.4121024914531357,0.0,-0.6295162816314102,0.87,1.4121024914531357,0.87,0.856,0.8835,0.04042900957004561,1.3427700865266128,1.3450458683876683,0.7760731729305758,1.21994745203466,1.492739626646917,1.812353572318648,4.45785429216736,6.83678138256073,1.5413145612128338,2.1517734012852143,213.09081081765373,0.5498104850856569,0.8567785024642944,61.2371036800032,0.0,8902
actor_critic,nn,5,3,1.1,True,1.3574329452376013,0.0,-0.6202387154991257,0.8685,1.3574329452376013,0.8685,0.854,0.882,0.03564064821767717,1.3091915803920473,1.318607524191393,0.7978554860629392,1.2086674693221917,1.4334193469102368,1.7159834048137381,4.442915685319189,5.731359958648682,1.5570648744331663,2.265804880932304,181.9881599257353,0.481857344050155,0.8627681732177734,19.783726392008248,0.0,9094
lstm,nn,5,3,1.1,True,2.5948703419485732,0.0,-0.47542860758591965,0.556,2.5948703419485732,0.556,0.533475,0.579,0.13682341920563357,1.3357855098720979,1.1858065404808902,0.5197433428949165,0.8459013228171193,1.6844438325263817,2.595132590136183,7.995878263966954,7.996870994567871,-2.0041217360330457,2.9958782639669543,10.964215811524728,0.5124470266214399,0.5656299591064453,13.640762947004987,0.0,4773
transformer,nn,5,3,1.1,True,1.8308506267855027,0.0,-0.6885162687264953,0.813,1.8308506267855027,0.813,0.7967375,0.829,0.051665538869008085,1.503701322260181,1.5059220731036431,0.6884686113101826,1.2139704318704523,1.786240042269651,2.2674458544497766,3.888578434547975,4.385548710823059,2.1046949145212697,2.41987379090194,72.95537992285207,0.5270000632595081,0.7123533487319946,26.750886702997377,0.0,17349
es_grpo,nn,5,3,1.1,True,1.5962668328119896,0.0,-0.6092857477568049,0.768,1.5962668328119896,0.768,0.7497375000000001,0.786,0.03901381869388448,1.3961442056904738,1.354046718963765,0.8399343139561732,1.1227650560329798,1.6153181909970977,2.081863220663311,3.443603615321923,4.101236701011658,2.556396384678077,1.18918631367093,33.26791485362505,0.37710692055045764,0.7744140625,4.972888773991144,0.0,4677
es_grpo_long_only,nn,5,3,1.1,True,1.4683684899422107,0.0,-0.4403817118776453,0.7135,1.4683684899422107,0.7135,0.6945,0.7332875,0.037307306211339465,1.262722138111716,1.2406125394555376,0.8788534505669119,1.0751746331513876,1.4206884248302956,1.7302080516255212,1.479410294958608,1.5503685176372528,1.479410294958608,0.9758548857560798,2.219527989625931,0.24070883874019564,0.66015625,4.895672244994785,0.0,4677
fd_nd,fd,5,4,1.1,True,1.233774369753974,0.0,-0.2751436415873785,0.913,1.233774369753974,0.913,0.9005,0.9242625,0.037158511368109444,1.0948775276008917,1.1329052073570614,0.7114155189957077,1.1193581889665976,1.1448408421909877,1.1613365751643348,0.7947051770686457,8.0,0.3174575959962825,0.2901965253946802,190.05388147764515,0.1275859574205684,,0.0,2.136917886993615,0
fd_merton_multi,fd,5,4,1.1,True,1.8068907617430092,0.0,-0.04833193690866333,1.0,1.8068907617430092,,,,,,,,,,,0.9999999999999999,0.9999999999999999,0.4209917790857099,0.4531353505400263,0.0,0.05795862623046553,,0.0,0.0001149440067820251,0
nn_mlp_small,nn,5,4,1.1,True,1.4033316266714866,0.0,-0.603883391765872,0.8685,1.4033316266714866,0.8685,0.8517125,0.8837625,0.035182260731673784,1.337206387024959,1.3522485705539022,0.8000159374353696,1.2250441820829905,1.4797337922754223,1.7303271899565962,4.44115259344898,5.50668203830719,1.5578749206528735,2.3313093103094613,168.57619246676623,0.4710859668061252,0.879025399684906,15.434510478997254,0.0,1317
nn_mlp_deep,nn,5,4,1.1,True,1.4718391817764365,0.0,-0.6219671261859463,0.8725,1.4718391817764365,0.8725,0.8572375,0.8852625,0.047475357190601954,1.3680055372974034,1.3811517951850245,0.6801786306324595,1.2493767834973364,1.529615763400506,1.8519943593544033,4.481701726106862,6.150006830692291,1.514388125927294,2.2430702398039966,190.0803780627192,0.5350279951284873,0.8736974596977234,16.838993905999814,0.0,6597
nn_policy_net,nn,5,4,1.1,True,1.3166729545159293,0.0,-0.3849819234466607,0.712,1.3166729545159293,0.712,0.690475,0.7312625,0.11567905910856374,1.1547943619823182,1.227557759396313,0.4248659225033703,1.0366777233087883,1.3634269015820506,1.6268425303035619,7.999989369615394,8.000000000000002,-2.0000106303846064,3.414991414513257,148.2654264359702,0.25492956192417116,0.6897473335266113,16.900760718999663,0.0,34053
